Dataset,Algorithm,Accuracy
Iris,MN-SVM,96.67
Iris,NN-ISDA,94
Iris,NL-SGD,96
Glass,MN-SVM,69.29
Glass,NN-ISDA,67.82
Glass,NL-SGD,69.17
Wine,MN-SVM,96.6
Wine,NN-ISDA,96.6
Wine,NL-SGD,97.17
Teach,MN-SVM,52.95
Teach,NN-ISDA,52.31
Teach,NL-SGD,56.95
Sonar,MN-SVM,87.57
Sonar,NN-ISDA,89.48
Sonar,NL-SGD,89.49
Dermatology,MN-SVM,98.36
Dermatology,NN-ISDA,98.36
Dermatology,NL-SGD,97.38
Heart,MN-SVM,83.33
Heart,NN-ISDA,83.33
Heart,NL-SGD,84.81
Prokaryotic,MN-SVM,88.97
Prokaryotic,NN-ISDA,88.65
Prokaryotic,NL-SGD,87.86
Eukaryotic,MN-SVM,81.21
Eukaryotic,NN-ISDA,79.56
Eukaryotic,NL-SGD,71.36
