Dataset,Algorithm,CPU
Iris,MN-SVM,3.57
Iris,NN-ISDA,0.27
Iris,NL-SGD,0.18
Glass,MN-SVM,11.94
Glass,NN-ISDA,1.01
Glass,NL-SGD,0.5
Wine,MN-SVM,4.84
Wine,NN-ISDA,0.43
Wine,NL-SGD,0.47
Teach,MN-SVM,8.85
Teach,NN-ISDA,0.44
Teach,NL-SGD,0.3
Sonar,MN-SVM,3.03
Sonar,NN-ISDA,0.98
Sonar,NL-SGD,0.74
Dermatology,MN-SVM,11.68
Dermatology,NN-ISDA,2.47
Dermatology,NL-SGD,1.69
Heart,MN-SVM,6.45
Heart,NN-ISDA,0.91
Heart,NL-SGD,0.61
Prokaryotic,MN-SVM,50.86
Prokaryotic,NN-ISDA,10.64
Prokaryotic,NL-SGD,5.61
Eukaryotic,MN-SVM,342.76
Eukaryotic,NN-ISDA,49.16
Eukaryotic,NL-SGD,45.38
