DATASET,KT,NEPOCH,ACCURACY,CPU
optdigits,0.5,1,98.75,382.42
optdigits,0.75,1,98.65,383.71
optdigits,1,1,98.88,340.7
optdigits,0.5,2,98.88,571.08
optdigits,0.75,2,98.88,641.98
optdigits,1,2,98.83,569.23
reuters,0.5,1,97.28,758.05
reuters,0.75,1,97.19,718.15
reuters,1,1,97.18,749.53
reuters,0.5,2,97.15,1367.21
reuters,0.75,2,97.19,1449.88
reuters,1,2,97.16,1418.89
usps,0.5,1,96.88,4348.11
usps,0.75,1,96.85,4398.34
usps,1,1,96.93,4193.36
usps,0.5,2,97.09,6155.81
usps,0.75,2,97.17,6265.54
usps,1,2,,
